"ID","year","01","02","03","04","05","06","07","08","09","10","11","12"
"TE","1961",16.1653327941895,16.0026664733887,15.710000038147,17.2586688995361,17.7086658477783,20.6553344726562,23.1506671905518,24.2240009307861,23.1019992828369,20.0279998779297,18.1126651763916,16.2940006256104
"TE","1962",14.7653331756592,14.5026664733887,15.5100002288818,16.1586685180664,17.6086673736572,20.3553333282471,22.4506664276123,23.1240005493164,22.3020000457764,19.5279998779297,17.6126651763916,15.7940006256104
"TE","1963",14.1653327941895,14.2026662826538,14.9100008010864,15.9586687088013,18.308666229248,19.8553333282471,22.7506675720215,24.0240001678467,22.8020000457764,20.4280014038086,17.0126667022705,14.9940004348755
"TE","1964",14.565333366394,14.8026666641235,14.3100004196167,16.1586685180664,18.0086669921875,18.9553337097168,21.7506675720215,22.8240013122559,22.4020004272461,19.7280006408691,18.8126659393311,16.6940002441406
"TE","1965",16.2653331756592,15.3026666641235,16.2100009918213,17.1586685180664,19.4086666107178,21.255334854126,23.050666809082,23.9240016937256,23.6019992828369,19.5279998779297,17.1126651763916,16.7940006256104
"TE","1966",15.7653331756592,14.7026662826538,15.4100008010864,16.2586688995361,18.2086658477783,20.1553344726562,22.550666809082,24.0240001678467,22.8020000457764,20.2280006408691,17.2126655578613,16.7940006256104
"TE","1967",15.8653326034546,15.3026666641235,16.9099998474121,17.1586685180664,17.5086669921875,21.1553344726562,23.3506679534912,24.9240016937256,24.3020000457764,21.7280006408691,18.2126655578613,17.5939998626709
"TE","1968",15.9653329849243,15.3026666641235,15.210000038147,15.7586679458618,18.2086658477783,20.5553340911865,22.1506671905518,23.9240016937256,22.4020004272461,19.5279998779297,16.5126667022705,15.1940002441406
"TE","1969",14.7653331756592,13.6026668548584,14.4100008010864,15.6586685180664,16.6086673736572,19.5553340911865,22.8506679534912,23.5240001678467,22.7019996643066,19.9280014038086,16.9126663208008,15.6940002441406
"TE","1970",14.8653326034546,14.4026660919189,14.9100008010864,16.7586688995361,18.2086658477783,19.8553333282471,22.9506664276123,24.5240001678467,23.1019992828369,20.8280010223389,18.3126659393311,15.9940004348755
"TE","1971",15.565333366394,14.8026666641235,15.9100008010864,15.8586683273315,17.308666229248,20.3553333282471,22.3506679534912,23.2240009307861,22.2019996643066,20.3280010223389,18.6126651763916,16.6940002441406
"TE","1972",14.7653331756592,14.0026664733887,14.5100002288818,16.6586685180664,19.0086669921875,21.3553333282471,23.9506664276123,24.4240016937256,22.8020000457764,18.5279998779297,18.0126667022705,15.8940000534058
"TE","1973",14.8653326034546,14.1026668548584,15.5100002288818,15.7586679458618,17.2086658477783,19.9553337097168,22.6506671905518,24.4240016937256,22.8020000457764,20.3280010223389,18.3126659393311,16.8940010070801
"TE","1974",15.8653326034546,15.7026662826538,15.0100002288818,15.6586685180664,18.308666229248,20.0553340911865,21.9506664276123,22.7240009307861,22.3020000457764,20.3280010223389,18.3126659393311,16.9940013885498
"TE","1975",15.6653327941895,14.7026662826538,16.0100002288818,16.1586685180664,19.0086669921875,21.0553340911865,23.8506679534912,23.7240009307861,22.8020000457764,20.2280006408691,18.3126659393311,15.7940006256104
"TE","1976",15.4653329849243,15.1026668548584,15.4100008010864,15.2586679458618,17.808666229248,20.755334854126,23.1506671905518,22.8240013122559,21.4020004272461,19.8280010223389,18.5126667022705,15.7940006256104
"TE","1977",15.3653326034546,15.1026668548584,15.210000038147,16.1586685180664,19.7086658477783,20.6553344726562,23.3506679534912,24.8240013122559,23.1019992828369,20.2280006408691,18.1126651763916,15.4940004348755
"TE","1978",15.065333366394,15.2026662826538,15.710000038147,16.5586681365967,17.7086658477783,19.4553337097168,22.4506664276123,24.5240001678467,24.1019992828369,19.9280014038086,18.8126659393311,16.1940002441406
"TE","1979",14.1653327941895,15.2026662826538,14.9100008010864,16.1586685180664,18.5086669921875,20.4553337097168,23.4506664276123,25.0240001678467,24.1019992828369,20.4280014038086,19.1126651763916,16.7940006256104
"TE","1980",16.2653331756592,15.6026668548584,15.9100008010864,16.0586681365967,18.808666229248,21.4553337097168,23.7506675720215,25.0240001678467,23.0020008087158,20.9280014038086,18.1126651763916,16.7940006256104
"TE","1981",15.8653326034546,15.3026666641235,16.310001373291,16.2586688995361,17.6086673736572,19.8553333282471,22.3506679534912,24.3240013122559,23.0020008087158,19.8280010223389,18.5126667022705,17.1940002441406
"TE","1982",15.9653329849243,15.1026668548584,16.0100002288818,15.6586685180664,18.1086673736572,19.3553333282471,22.050666809082,23.6240005493164,22.7019996643066,20.5279998779297,17.1126651763916,16.4940013885498
"TE","1983",15.2653331756592,15.3026666641235,15.210000038147,15.9586687088013,17.6086673736572,19.255334854126,21.9506664276123,23.7240009307861,23.2019996643066,20.0279998779297,17.0126667022705,16.1940002441406
"TE","1984",15.565333366394,14.8026666641235,15.1100006103516,16.6586685180664,18.6086673736572,21.1553344726562,22.550666809082,24.2240009307861,23.8020000457764,21.6280002593994,17.8126659393311,15.7940006256104
"TE","1985",15.565333366394,14.5026664733887,15.710000038147,15.6586685180664,18.2086658477783,20.255334854126,22.6506671905518,24.8240013122559,23.8020000457764,19.8280010223389,17.3126659393311,15.4940004348755
"TE","1986",15.4653329849243,15.0026664733887,15.5100002288818,15.5586681365967,17.9086666107178,20.1553344726562,23.8506679534912,24.1240005493164,21.8020000457764,20.8280010223389,18.3126659393311,17.0939998626709
"TE","1987",16.0653343200684,16.0026664733887,15.710000038147,15.4586687088013,17.1086673736572,20.5553340911865,23.6506671905518,24.2240009307861,22.8020000457764,19.0279998779297,17.8126659393311,15.8940000534058
